 1  1  72.0  50   8.0  0.5
 2  1  66.5  48  15.0  1.0
 3  1  54.0  57  14.0  1.0
 4  1  67.0  60  15.0  0.9
 5  1  44.0  57  14.0  0.3
 6  1  41.0  52  18.0  1.9
 7  1  34.5  50   4.0  0.5
 8  1  34.5  46   8.5  1.0
 9  1  24.0  54   3.0  1.2
 1  2  57.0  57  12.5  0.9
 2  2 100.0  54  17.0  0.5
 3  2 100.0  32  16.5  0.7
 4  2  96.5  65  20.5  0.9
 5  2  79.0  51  18.0  0.9
 6  2  78.5  53  18.0  1.2
 7  2  48.0  50  21.0  1.6
 8  2 155.0  44  20.5  1.4
 9  2  84.0  64  13.0  0.8
10  2 105.0  35  17.0  1.8
