1 13.50 57.15 19.50 12.50 14.00 11.00
1 15.50 58.42 21.00 12.00 16.00 12.00
1 14.50 55.88 19.00 10.00 13.00 12.00
1 15.50 58.42 20.00 13.50 15.00 12.00
1 14.50 58.42 20.00 13.00 15.50 12.00
1 14.00 60.96 21.00 12.00 14.00 13.00
1 15.00 58.42 19.50 13.50 15.50 13.00
1 15.00 58.42 21.00 13.00 14.00 13.00
1 15.50 59.69 20.50 13.50 14.50 12.50
1 15.50 59.69 20.50 13.00 15.00 13.00
1 15.00 57.15 19.00 14.00 14.50 11.50
1 15.50 59.69 21.00 13.00 16.00 12.50
1 16.00 57.15 19.00 14.00 14.50 12.00
1 15.50 62.23 21.50 14.00 16.00 12.00
1 15.50 57.15 19.50 13.50 15.00 12.00
1 14.00 60.96 20.00 15.00 15.00 12.00
1 14.50 58.42 20.00 12.00 14.50 12.00
1 15.00 56.90 19.00 13.00 14.00 12.50
1 15.50 59.69 20.00 12.50 14.00 12.50
1 15.00 57.15 19.50 12.00 14.00 11.00
1 15.00 56.90 19.00 12.00 13.00 12.00
1 15.50 56.90 19.50 14.50 14.50 13.00
1 17.50 63.50 21.50 14.00 15.50 13.50
1 15.50 57.15 19.00 13.00 15.50 12.50
1 15.50 60.96 20.50 12.00 13.00 12.50
1 15.50 60.96 21.00 14.50 15.50 12.50
1 15.50 63.50 21.75 14.50 16.50 13.50
1 14.50 58.42 20.50 13.00 16.00 10.50
1 15.50 56.90 20.00 13.50 14.00 12.00
1 16.00 60.96 20.00 12.50 14.50 12.50
2 15.50 59.69 21.10 10.30 13.40 12.40
2 15.40 59.70 20.00 12.80 14.50 11.30
2 15.10 59.70 20.20 11.40 14.10 12.10
2 14.30 56.90 18.90 11.00 13.40 11.00
2 14.80 58.00 20.10  9.60 11.10 11.70
2 15.20 57.50 18.50  9.90 12.80 11.40
2 15.40 58.00 20.80 10.20 12.80 11.90
2 16.30 58.00 20.10  8.80 13.00 12.90
2 15.50 57.00 19.60 10.50 13.90 11.80
2 15.00 56.50 19.60 10.40 14.50 12.00
2 15.50 57.20 20.00 11.20 13.40 12.40
2 15.50 56.50 19.80  9.20 12.80 12.20
2 15.70 57.50 19.80 11.80 12.60 12.50
2 14.40 57.00 20.40 10.20 12.70 12.30
2 14.90 54.80 18.50 11.20 13.80 11.30
2 16.50 59.80 20.20  9.40 14.30 12.20
2 15.50 56.10 18.80  9.80 13.80 12.60
2 15.30 55.00 19.00 10.10 14.20 11.60
2 14.50 55.60 19.30 12.00 12.60 11.60
2 15.50 56.50 20.00  9.90 13.40 11.50
2 15.20 55.00 19.30  9.90 14.40 11.90
2 15.30 56.50 19.30  9.10 12.80 11.70
2 15.30 56.80 20.20  8.60 14.20 11.50
2 15.80 55.50 19.20  8.20 13.00 12.60
2 14.80 57.00 20.20  9.80 13.80 10.50
2 15.20 56.90 19.10  9.60 13.00 11.20
2 15.90 58.80 21.00  8.60 13.50 11.80
2 15.50 57.30 20.10  9.60 14.10 12.30
2 16.50 58.00 19.50  9.00 13.90 13.30
2 17.30 62.60 21.50 10.30 13.80 12.80
3 14.90 56.50 20.40  7.40 13.00 12.00
3 15.40 57.50 19.50 10.50 13.80 11.50
3 15.30 55.40 19.20  9.70 13.30 11.50
3 14.60 56.00 19.80  8.50 12.00 11.50
3 16.20 56.50 19.50 11.50 14.50 11.80
3 14.60 58.00 19.90 13.00 13.40 11.50
3 15.90 56.70 18.70 10.80 12.80 12.60
3 14.70 55.80 18.70 11.10 13.90 11.20
3 15.50 58.50 19.40 11.50 13.40 11.90
3 16.10 60.00 20.30 10.60 13.70 12.20
3 15.20 57.80 19.90 10.40 13.50 11.40
3 15.10 56.00 19.40 10.00 13.10 10.90
3 15.90 59.80 20.50 12.00 13.60 11.50
3 16.10 57.70 19.70 10.20 13.60 11.50
3 15.70 58.70 20.70 11.30 13.60 11.30
3 15.30 56.90 19.60 10.50 13.50 12.10
3 15.30 56.90 19.50  9.90 14.00 12.10
3 15.20 58.00 20.60 11.00 15.10 11.70
3 16.60 59.30 19.90 12.10 14.60 12.10
3 15.50 58.20 19.70 11.70 13.80 12.10
3 15.80 57.50 18.90 11.80 14.70 11.80
3 16.00 57.20 19.80 10.80 13.90 12.00
3 15.40 57.00 19.80 11.30 14.00 11.40
3 16.00 59.20 20.80 10.40 13.80 12.20
3 15.40 57.60 19.60 10.20 13.90 11.70
3 15.80 60.30 20.80 12.40 13.40 12.10
3 15.40 55.00 18.80 10.70 14.20 10.80
3 15.50 58.40 19.80 13.10 14.50 11.70
3 15.70 59.00 20.40 12.10 13.00 12.70
3 17.30 61.70 20.70 11.90 13.30 13.30
