1  21.0  20.0  21.5  23.0
1  21.0  21.5  24.0  25.5
1  20.5  24.0  24.5  26.0
1  23.5  24.5  25.0  26.5
1  21.5  23.0  22.5  23.5
1  20.0  21.0  21.0  22.5
1  21.5  22.5  23.0  25.0
1  23.0  23.0  23.5  24.0
1  20.0  21.0  22.0  21.5
1  16.5  19.0  19.0  19.5
1  24.5  25.0  28.0  28.0
2  26.0  25.0  29.0  31.0
2  21.5  22.5  23.0  26.5
2  23.0  22.5  24.0  27.5
2  25.5  27.5  26.5  27.0
2  20.0  23.5  22.5  26.0
2  24.5  25.5  27.0  28.5
2  22.0  22.0  24.5  26.5
2  24.0  21.5  24.5  25.5
2  23.0  20.5  31.0  26.0
2  27.5  28.0  31.0  31.5
2  23.0  23.0  23.5  25.0
2  21.5  23.5  24.0  28.0
2  17.0  24.5  26.0  29.5
2  22.5  25.5  25.5  26.0
2  23.0  24.5  26.0  30.0
2  22.0  21.5  23.5  25.0
