   1  1  4.0  4.0  4.1  3.6  3.6  3.8  3.1 
   2  1  4.2  4.3  3.7  3.7  4.8  5.0  5.2 
   3  1  4.3  4.2  4.3  4.3  4.5  5.8  5.4 
   4  1  4.2  4.4  4.6  4.9  5.3  5.6  4.9 
   5  1  4.6  4.4  5.3  5.6  5.9  5.9  5.3 
   6  1  3.1  3.6  4.9  5.2  5.3  4.2  4.1 
   7  1  3.7  3.9  3.9  4.8  5.2  5.4  4.2 
   8  1  4.3  4.2  4.4  5.2  5.6  5.4  4.7 
   9  1  4.6  4.6  4.4  4.6  5.4  5.9  5.6 
  10  2  3.4  3.4  3.5  3.1  3.1  3.7  3.3 
  11  2  3.0  3.2  3.0  3.0  3.1  3.2  3.1 
  12  2  3.0  3.1  3.2  3.0  3.3  3.0  3.0 
  13  2  3.1  3.2  3.2  3.2  3.3  3.1  3.1 
  14  2  3.8  3.9  4.0  2.9  3.5  3.5  3.4 
  15  2  3.0  3.6  3.2  3.1  3.0  3.0  3.0 
  16  2  3.3  3.3  3.3  3.4  3.6  3.1  3.1 
  17  2  4.2  4.0  4.2  4.1  4.2  4.0  4.0 
  18  2  4.1  4.2  4.3  4.3  4.2  4.0  4.2 
  19  2  4.5  4.4  4.3  4.5  5.3  4.4  4.4 
  20  3  3.2  3.3  3.8  3.8  4.4  4.2  4.7 
  21  3  3.3  3.4  3.4  3.7  3.7  3.6  3.7 
  22  3  3.1  3.3  3.2  3.1  3.2  3.1  3.1 
  23  3  3.6  3.4  3.5  4.6  4.9  5.2  4.4 
  24  3  4.5  4.5  5.4  5.7  4.9  4.0  4.0 
  25  3  3.7  4.0  4.4  4.2  4.6  4.8  5.4 
  26  3  3.5  3.9  5.8  5.4  4.9  5.3  5.6 
  27  3  3.9  4.0  4.1  5.0  5.4  4.4  3.9 
  28  4  3.1  3.5  3.5  3.2  3.0  3.0  3.2 
  29  4  3.3  3.2  3.6  3.7  3.7  4.2  4.4 
  30  4  3.5  3.9  4.7  4.3  3.9  3.4  3.5 
  31  4  3.4  3.4  3.5  3.3  3.4  3.2  3.4 
  32  4  3.7  3.8  4.2  4.3  3.6  3.8  3.7 
  33  4  4.0  4.6  4.8  4.9  5.4  5.6  4.8 
  34  4  4.2  3.9  4.5  4.7  3.9  3.8  3.7 
  35  4  4.1  4.1  3.7  4.0  4.1  4.6  4.7 
  36  4  3.5  3.6  3.6  4.2  4.8  4.9  5.0 

