1  1  1  1  194  192  141 
1  1  1  2  208  188  165 
1  1  2  1  239  127   90 
1  1  2  2  187  105   85 
1  2  1  1  155  169  151 
1  2  1  2  173  152  141 
1  2  2  1  137   82   77 
1  2  2  2  160   82   83 
2  1  1  1  233  217  171 
2  1  1  2  241  222  201 
2  1  2  1  224  123   79 
2  1  2  2  243  123  110 
2  2  1  1  198  187  176 
2  2  1  2  177  196  167 
2  2  2  1  129   94   78 
2  2  2  2  98    89   48 
3  1  1  1  265  252  207 
3  1  1  2  269  283  191 
3  1  2  1  243  117  100 
3  1  2  2  226  125   75 
3  2  1  1  235  225  166 
3  2  1  2  229  270  183 
3  2  2  1  155   76   92 
3  2  2  2  132  105   67
