1 22  6  52.0  83.5  10.9 176
1 32  8  20.0  77.0  11.0 200
1 36  7  28.0  86.5  13.2 171
1 22 11  30.0 104.0  22.6 230
1 23  1  40.0  83.0  15.2 205
1 30  5  24.0  78.8   9.6 151
1 27  8  15.0  87.0  13.5 232
1 30 11  22.0  91.0  17.5 198
1 25 10  42.0  65.5  13.3 216
1 26  2 130.0  80.3  17.1 211
1 26  3  48.0  85.2  22.7 160
1 27  7  31.0  86.5   6.9 162
1 26 10  47.0  53.0  14.6 131
1 27  3  36.0  56.0  18.2 105
1 27  7  24.0  57.5   5.6 130
1 31  4  34.0  92.7   7.9 140
1 31  9  38.0  96.0  12.6 158
1 35 10  40.0 104.6  16.1 209
1 28  4  59.0  88.0   9.9 128
1 28  8  75.0  81.0  10.1 177
1 28  9  72.0  66.3  16.4 156
1 27  7  42.0  77.0  15.3 163
1 27  3  30.0  80.2   8.1 100
1 28  6  24.0  87.0   3.5 132
1 24  9  26.0  84.5  20.7 145
1 23  8  65.0  75.0  19.9 187
1 27  3  34.0  86.3  11.8 120
1 25  2  37.0  73.3  13.0 254
1 34  3  73.0  57.4   7.4 107
1 34  7  87.0  76.3   6.0 87
1 25  7  35.0  71.0   8.8 186
1 20  7  31.0  61.5   9.9 172
1 20  5  62.0  81.0  10.2 181
1 31  6  48.0  79.0  16.8 182
1 31  7  40.0  82.5   6.4 151
1 26  7  55.0  85.5  10.9 216
1 26  7  32.0  73.8   8.6 147
1 21 11  26.0  79.3  16.4 123
1 27  6  25.0  91.0  10.3 135
2 30 10 167.0  89.0  25.6 364
2 41 10 104.0  81.0  26.8 245
2 22  8  30.0 108.0   8.8 284
2 22  8  44.0 104.0  17.4 172
2 20 10  65.0  87.0  23.8 198
2 42  9 440.0 107.0  20.2 239
2 59  8  58.0  88.2  11.0 259
2 35  9 129.0  93.1  18.3 188
2 36  6 104.0  87.5  16.7 256
2 35  2 122.0  88.5  21.6 263
2 29  4 265.0  83.5  16.1 136
2 27  4 285.0  79.5  36.4 245
2 27  9  25.0  91.0  49.1 209
2 28  4 124.0  92.0  32.2 298
2 29  8  53.0  76.0  14.0 174
2 30  2  46.0  71.0  16.9 197
2 30  7  40.0  85.5  12.7 201
2 30  8  41.0  90.0   9.7 342
2 31  6 657.0 104.0 110.0 358
2 32  2 465.0  86.5  63.7 412
2 32  5 485.0  83.5  73.0 382
2 37  2 168.0  82.5  23.3 261
2 38  6 286.0 109.5  31.9 260
2 39  1 388.0  91.0  41.6 204
2 39  9 148.0 105.2  18.8 221
2 34  6  73.0 105.5  17.0 285
2 35  4  36.0  92.8  22.0 308
2 58  8  19.0 100.5  10.9 196
2 58  2  34.0  98.5  19.9 299
2 38  1 113.0  97.0  18.8 216
2 30  8  57.0 105.0  12.9 155
2 42  8  78.0 118.0  15.5 212
2 43 11  73.0 104.0  20.6 201
2 29  3  69.0 111.0  16.0 175
