skilled		rent	apartment	<30	yes	18
skilled		rent	apartment	<30	no	15
skilled		own	apartment	<30	yes	5
skilled		own	apartment	<30	no	1
unskilled	rent	apartment	<30	yes	17
unskilled	rent	apartment	<30	no	34
unskilled	own	apartment	<30	yes	2
unskilled	own	apartment	<30	no	3
office		rent	apartment	<30	yes	30
office		rent	apartment	<30	no	25
office		own	apartment	<30	yes	8
office		own	apartment	<30	no	4
skilled		rent	apartment	31-45	yes	15
skilled		rent	apartment	31-45	no	13
skilled		own	apartment	31-45	yes	3
skilled		own	apartment	31-45	no	1
unskilled	rent	apartment	31-45	yes	10
unskilled	rent	apartment	31-45	no	17
unskilled	own	apartment	31-45	yes	0
unskilled	own	apartment	31-45	no	2
office		rent	apartment	31-45	yes	23
office		rent	apartment	31-45	no	19
office		own	apartment	31-45	yes	5
office		own	apartment	31-45	no	2
skilled		rent	apartment	46+	yes	6
skilled		rent	apartment	46+	no	9
skilled		own	apartment	46+	yes	1
skilled		own	apartment	46+	no	1
unskilled	rent	apartment	46+	yes	15
unskilled	rent	apartment	46+	no	19
unskilled	own	apartment	46+	yes	3
unskilled	own	apartment	46+	no	0
office		rent	apartment	46+	yes	21
office		rent	apartment	46+	no	40
office		own	apartment	46+	yes	1
office		own	apartment	46+	no	2
skilled		rent	house		<30	yes	34
skilled		rent	house		<30	no	28
skilled		own	house		<30	yes	56
skilled		own	house		<30	no	12
unskilled	rent	house		<30	yes	29
unskilled	rent	house		<30	no	44
unskilled	own	house		<30	yes	23
unskilled	own	house		<30	no	9
office		rent	house		<30	yes	22
office		rent	house		<30	no	25
office		own	house		<30	yes	54
office		own	house		<30	no	19
skilled		rent	house		31-45	yes	10
skilled		rent	house		31-45	no	4
skilled		own	house		31-45	yes	56
skilled		own	house		31-45	no	21
unskilled	rent	house		31-45	yes	3
unskilled	rent	house		31-45	no	13
unskilled	own	house		31-45	yes	52
unskilled	own	house		31-45	no	31
office		rent	house		31-45	yes	13
office		rent	house		31-45	no	16
office		own	house		31-45	yes	191
office		own	house		31-45	no	76
skilled		rent	house		46+	yes	2
skilled		rent	house		46+	no	6
skilled		own	house		46+	yes	35
skilled		own	house		46+	no	8
unskilled	rent	house		46+	yes	7
unskilled	rent	house		46+	no	16
unskilled	own	house		46+	yes	49
unskilled	own	house		46+	no	51
office		rent	house		46+	yes	11
office		rent	house		46+	no	12
office		own	house		46+	yes	102
office		own	house		46+	no	61
	
