 1.0  0.8  4.05  1.68  0.85  3.0  3.97  5.00  16.90  122.0  
 0.1  0.2  3.81  1.39  0.30  0.6  3.62  4.52  15.80   62.0  
 0.5  0.0  4.20  1.63  0.92 -2.3  3.48  4.46  15.80  139.0  
 0.7  0.7  4.35  1.43  0.97 -1.6  3.45  3.98  15.40  150.0  
-0.1 -1.1  4.35  1.53  0.87 -2.0  3.67  4.22  15.40  138.0  
 0.4  0.5  4.05  1.84  0.95 -2.5  3.61  5.00  16.78  123.0  
 0.2 -0.3  4.20  1.61  1.09 -1.7  3.25  4.15  15.81  172.0  
 0.3 -0.1  4.32  1.43  0.93 -5.0  4.16  5.45  16.78  144.0  
 0.7  0.4  4.21  1.74  0.95 -1.5  3.40  4.25  16.62  153.0  
 0.5 -0.1  4.17  1.72  0.92 -1.2  3.62  4.31  16.70  121.0  
-0.1  0.1  4.45  1.78  1.19 -2.0  3.09  3.92  16.50  176.0  
 0.5 -0.5  4.45  1.48  0.86 -2.0  3.32  4.09  15.40  128.0  
 0.5  0.8  4.25  1.53  0.83 -3.0  3.48  4.54  15.55  126.0  
 0.6  0.2  4.25  1.49  0.86  2.0  3.13  3.45  15.60  128.0  
 0.0 -0.5  4.05  1.48  0.30  0.0  3.67  4.52  15.38   99.0  
-0.2 -0.2  4.22  1.64  0.90 -2.2  3.59  4.49  16.37  122.8  
 0.0 -0.2  4.10  1.55  0.85  1.8  3.02  3.62  15.31  114.0  
 0.2  0.2  4.28  1.52  0.75 -4.8  3.64  4.93  15.77  125.0  
-0.1 -0.2  4.32  1.54  0.83 -2.0  3.17  4.62  16.60  119.0  
 0.6  0.1  4.12  1.68  0.84 -2.1  3.72  4.83  16.93  111.0  
 0.8  0.5  4.30  1.50  0.92 -1.5  2.98  3.92  15.10   68.0  
 0.5  0.2  4.55  1.50  1.14  0.9  2.60  3.45  15.70  197.0  
 0.4  0.7  4.15  1.62  0.78 -7.0  4.11  5.55  15.50  106.0  
 0.6 -0.3  4.15  1.32  0.31  0.8  3.56  4.42  15.40   49.5  
-0.7 -0.3  4.25  1.77  1.12  0.5  2.84  4.15  16.65  164.0  
-0.2  0.0  3.95  1.36  0.25  1.0  3.67  4.52  15.98   29.5  
 0.3 -0.1  4.35  1.42  0.96 -2.5  3.40  4.12  15.30  131.0  
 0.1  0.4  4.15  1.17  1.06 -4.5  3.89  5.00  16.79  168.2  
 0.4  0.5  4.16  1.61  0.91 -2.1  3.93  4.35  15.70  118.0  
-0.6 -0.3  3.85  1.32  0.30  0.7  3.61  4.29  15.71   48.0  
