   1  1  4.3  3.3  3.0  2.6  2.2  2.5  3.4  4.4
   2  1  3.7  2.6  2.6  1.9  2.9  3.2  3.1  3.9
   3  1  4.0  4.1  3.1  2.3  2.9  3.1  3.9  4.0
   4  1  3.6  3.0  2.2  2.8  2.9  3.9  3.8  4.0
   5  1  4.1  3.8  2.1  3.0  3.6  3.4  3.6  3.7
   6  1  3.8  2.2  2.0  2.6  3.8  3.6  3.0  3.5
   7  1  3.8  3.0  2.4  2.5  3.1  3.4  3.5  3.7
   8  1  4.4  3.9  2.8  2.1  3.6  3.8  4.0  3.9
   9  1  5.0  4.0  3.4  3.4  3.3  3.6  4.0  4.3
  10  1  3.7  3.1  2.9  2.2  1.5  2.3  2.7  2.8
  11  1  3.7  2.6  2.6  2.3  2.9  2.2  3.1  3.9
  12  1  4.4  3.7  3.1  3.2  3.7  4.3  3.9  4.8
  13  1  4.7  3.1  3.2  3.3  3.2  4.2  3.7  4.3
   1  2  4.3  3.3  3.0  2.6  2.2  2.5  2.4  3.4
   2  2  5.0  4.9  4.1  3.7  3.7  4.1  4.7  4.9
   3  2  4.6  4.4  3.9  3.9  3.7  4.2  4.8  5.0
   4  2  4.3  3.9  3.1  3.1  3.1  3.1  3.6  4.0
   5  2  3.1  3.1  3.3  2.6  2.6  1.9  2.3  2.7
   6  2  4.8  5.0  2.9  2.8  2.2  3.1  3.5  3.6
   7  2  3.7  3.1  3.3  2.8  2.9  3.6  4.3  4.4
   8  2  5.4  4.7  3.9  4.1  2.8  3.7  3.5  3.7
   9  2  3.0  2.5  2.3  2.2  2.1  2.6  3.2  3.5
  10  2  4.9  5.0  4.1  3.7  3.7  4.1  4.7  4.9
  11  2  4.8  4.3  4.7  4.6  4.7  3.7  3.6  3.9
  12  2  4.4  4.2  4.2  3.4  3.5  3.4  3.9  4.0
  13  2  4.9  4.3  4.0  4.0  3.3  4.1  4.2  4.3
  14  2  5.1  4.1  4.6  4.1  3.4  4.2  4.4  4.9
  15  2  4.8  4.6  4.6  4.4  4.1  4.0  3.8  3.8
  16  2  4.2  3.5  3.8  3.6  3.3  3.1  3.5  3.9
  17  2  6.6  6.1  5.2  4.1  4.3  3.8  4.2  4.8
  18  2  3.6  3.4  3.1  2.8  2.1  2.4  2.5  3.5
  19  2  4.5  4.0  3.7  3.3  2.4  2.3  3.1  3.3
  20  2  4.6  4.4  3.8  3.8  3.8  3.6  3.8  3.8
