1 15 17 24 14 
1 17 15 32 26 
1 15 14 29 23 
1 13 12 10 16 
1 20 17 26 28 
1 15 21 26 21 
1 15 13 26 22 
1 13  5 22 22 
1 14  7 30 17 
1 17 15 30 27 
1 17 17 26 20 
1 17 20 28 24 
1 15 15 29 24 
1 18 19 32 28 
1 18 18 31 27 
1 15 14 26 21 
1 18 17 33 26 
1 10 14 19 17 
1 18 21 30 29 
1 18 21 34 26 
1 13 17 30 24 
1 16 16 16 16 
1 11 15 25 23 
1 16 13 26 16 
1 16 13 23 21 
1 18 18 34 24 
1 16 15 28 27 
1 15 16 29 24 
1 18 19 32 23 
1 18 16 33 23 
1 17 20 21 21 
1 19 19 30 28 
2 13 14 12 21 
2 14 12 14 26 
2 12 19 21 21 
2 12 13 10 16 
2 11 20 16 16 
2 12  9 14 18 
2 10 13 18 24 
2 10  8 13 23 
2 12 20 19 23 
2 11 10 11 27 
2 12 18 25 25 
2 14 18 13 26 
2 14 10 25 28 
2 13 16  8 14
2 14  8 13 25
2 13 16 23 28 
2 16 21 26 26 
2 14 17 14 14 
2 16 16 15 23 
2 13 16 23 24 
2  2  6 16 21 
2 14 16 22 26 
2 17 17 22 28 
2 16 13 16 14 
2 15 14 20 26 
2 12 10 12  9 
2 14 17 24 23 
2 13 15 18 20 
2 11 16 18 28 
2  7  7 19 18 
2 12 15  7 28 
2  6  5  6 13 
