  1   1   8.0  3.96  12.5
  1   2   4.0  5.37  16.9 
  1   3   6.3  5.47  17.1 
  1   4   9.4  5.16  16.2 
  1   5   8.2  5.16  17.0 
  1   6  11.0  4.67  14.3 
  1   7   6.8  5.20  16.2 
  1   8   9.0  4.65  14.7 
  1   9   6.1  5.22  16.3 
  1  10   6.4  5.13  15.9 
  1  11   5.6  4.47  13.3 
  1  12   8.2  5.22  16.0 
  1  13   5.7  5.10  14.9 
  1  14   9.8  5.25  16.1 
  1  15   5.9  5.28  15.8 
  1  16   6.6  4.65  12.8 
  1  17   5.7  4.42  14.5 
  1  18   6.7  4.38  13.1 
  1  19   6.8  4.67  15.6 
  1  20   9.6  5.64  17.0 
  2   1   8.0  3.93  12.7 
  2   2   4.2  5.35  17.2 
  2   3   6.3  5.39  17.5 
  2   4   9.4  5.16  16.7 
  2   5   8.0  5.13  17.5 
  2   6  10.7  4.60  14.7 
  2   7   6.8  5.16  16.7 
  2   8   9.0  4.57  15.0 
  2   9   6.0  5.16  16.9 
  2  10   6.4  5.11  16.4 
  2  11   5.5  4.45  13.6 
  2  12   8.2  5.14  16.5 
  2  13   5.6  5.05  15.3 
  2  14   9.8  5.15  16.6 
  2  15   5.8  5.25  16.4 
  2  16   6.4  4.59  13.2 
  2  17   5.5  4.31  14.9 
  2  18   6.5  4.32  13.4 
  2  19   6.6  4.57  15.8 
  2  20   9.5  5.58  17.5 
  3   1   7.9  3.86  13.0 
  3   2   4.1  5.39  17.2 
  3   3   6.0  5.39  17.2 
  3   4   9.4  5.17  16.7 
  3   5   8.1  5.10  17.4 
  3   6  10.6  4.52  14.6 
  3   7   6.9  5.13  16.8 
  3   8   8.9  4.58  15.0 
  3   9   6.1  5.14  16.9 
  3  10   6.4  5.11  16.4 
  3  11   5.3  4.46  13.6 
  3  12   8.0  5.14  16.5 
  3  13   5.5  5.02  15.4 
  3  14   8.1  5.10  13.8
  3  15   5.7  5.26  16.4
  3  16   6.3  4.58  13.1 
  3  17   5.5  4.30  14.9 
  3  18   6.5  4.32  13.6 
  3  19   6.5  4.55  16.0 
  3  20   9.3  5.50  17.4 
  4   1   7.9  3.87  13.2 
  4   2   4.0  5.35  17.3 
  4   3   6.1  5.41  17.4 
  4   4   9.1  5.16  16.7 
  4   5   7.8  5.12  17.5 
  4   6  10.5  4.58  14.7 
  4   7   6.7  5.19  16.8 
  4   8   8.6  4.55  15.1 
  4   9   6.0  5.21  16.9 
  4  10   6.3  5.07  16.3 
  4  11   5.3  4.44  13.7 
  4  12   7.8  5.16  16.5 
  4  13   5.4  5.05  15.5 
  4  14   9.4  5.16  16.6 
  4  15   5.6  5.29  16.2 
  4  16   6.4  4.57  13.2 
  4  17   5.4  4.32  14.8 
  4  18   6.5  4.31  13.5 
  4  19   6.5  4.56  15.9 
  4  20   9.2  5.46  17.5 
