1 1.11 2.569 3.58 0.760
1 1.19 2.928 3.75 0.821
1 1.09 2.865 3.93 0.928
1 1.25 3.844 3.94 1.009
1 1.11 3.027 3.60 0.766
1 1.08 2.336 3.51 0.726
1 1.11 3.211 3.98 1.209
1 1.16 3.037 3.62 0.750
2 1.05 2.074 4.09 1.036
2 1.17 2.885 4.06 1.094
2 1.11 3.378 4.87 1.635
2 1.25 3.906 4.98 1.517
2 1.17 2.782 4.38 1.197
2 1.15 3.018 4.65 1.244
2 1.17 3.383 4.69 1.495
2 1.19 3.447 4.40 1.026
3 1.07 2.505 3.76 0.912
3 0.99 2.315 4.44 1.398
3 1.06 2.667 4.38 1.197
3 1.02 2.390 4.67 1.613
3 1.15 3.021 4.48 1.476
3 1.20 3.085 4.78 1.571
3 1.20 3.308 4.57 1.506
3 1.17 3.231 4.56 1.458
4 1.22 2.838 3.89 0.944
4 1.03 2.351 4.05 1.241
4 1.14 3.001 4.05 1.023
4 1.01 2.439 3.92 1.067
4 0.99 2.199 3.27 0.693
4 1.11 3.318 3.95 1.085
4 1.20 3.601 4.27 1.242
4 1.08 3.291 3.85 1.017
5 0.91 1.532 4.04 1.084
5 1.15 2.552 4.16 1.151
5 1.14 3.083 4.79 1.381
5 1.05 2.330 4.42 1.242
5 0.99 2.079 3.47 0.673
5 1.22 3.366 4.41 1.137
5 1.05 2.416 4.64 1.455
5 1.13 3.100 4.57 1.325
6 1.11 2.813 3.76 0.800
6 0.75 0.840 3.14 0.606
6 1.05 2.199 3.75 0.790
6 1.02 2.132 3.99 0.853
6 1.05 1.949 3.34 0.610
6 1.07 2.251 3.21 0.562
6 1.13 3.064 3.63 0.707
6 1.11 2.469 3.95 0.952
