     1         5.4  6.0  6.3  6.7 
     1         5.2  6.5  6.0  5.8 
     1         6.1  5.9  6.0  7.0 
     1         4.8  5.0  4.9  5.0 
     1         5.0  5.7  5.0  6.5 
     1         5.7  6.1  6.0  6.6 
     1         6.0  6.0  5.8  6.0 
     1         4.0  5.0  4.0  5.0 
     1         5.7  5.4  4.9  5.0 
     1         5.6  5.2  5.4  5.8 
     1         5.8  6.1  5.2  6.4 
     1         5.3  5.9  5.8  6.0 
     2         5.0  5.3  5.3  6.5 
     2         4.8  4.9  4.2  5.6 
     2         3.9  4.0  4.4  5.0 
     2         4.0  5.1  4.8  5.8 
     2         5.6  5.4  5.1  6.2 
     2         6.0  5.5  5.7  6.0 
     2         5.2  4.8  5.4  6.0 
     2         5.3  5.1  5.8  6.4 
     2         5.9  6.1  5.7  6.0 
     2         6.1  6.0  6.1  6.2 
     2         6.2  5.7  5.9  6.0 
     2         5.1  4.9  5.3  4.8 
     3         4.8  5.0  6.5  7.0 
     3         5.4  5.0  6.0  6.4 
     3         4.9  5.1  5.9  6.5 
     3         5.7  5.2  6.4  6.4 
     3         4.2  4.6  5.3  6.3 
     3         6.0  5.3  5.8  6.4 
     3         5.1  5.2  6.2  6.5 
     3         4.8  4.6  5.7  5.7 
     3         5.3  5.4  6.8  6.6 
     3         4.6  4.4  5.7  5.6 
     3         4.5  4.0  5.0  5.9 
     3         4.4  4.2  5.6  5.5 
