,№,text,target
0,1,"Один   муж   привез   на   обследование   свою   жену.   После многочисленных анализов врач остался один на  один  с  мужем  и сказал:  ""У  Вашей  жены  одно  из  двух:  либо  склероз,  либо гонорея"". Муж спрашивает:""И как же  мне  узнать  что  именно?"". Врач советует:""Выбрось ее из машины по дороге домой, если домой вернется - ни в коем случае не сношаться!"".",0
1,2,"Вовочка  самым  злостным  образом  прогуливал  школу.  Его
учительнице сие безобразие  надоело,  и  она  решила  проведать
родителей и, заодно, питомца.
     Приходит  по  адресу  -  там хоромы немеряные, от ворот до
входа ковры простелены. Стучит в  дверь...  Открывает  швейцар,
вежливый   до  неприличия.  За  ним  просматриваются  мраморные
лестницы, картины в подлинниках.
     Училка, смущенная, тихо спрашивает:
     - А В-в-вовочка д-дома?
     Швейцар ведет ее по дому к Вовочкиной двери. Стучит:
     - Вольдемар! К Вам дама!
     - ПИЗДИШЬ!
     Характерным жестом поправляя бабочку:
     - БЛЯ буду-с!",1
2,3,"Пациент   пришел  к  доктору  и  говорит:  ""Доктор,  мне  жена изменяет, а рога не растут"".  Доктор: ""Да они и не должны расти, это все сказки...""  Пациент: ""А Вы уверены?""  Доктор: ""Абсолютно""  Пациент: ""Ну спасибо, утешили, а то я думал кальция не хватает"".",0
3,4,"- Здраствуйте, я мать Сидорова Вовы, вы меня вызывали?
         -    Здраствуйте,    любезнейшая    Ольга    Петровна,
присаживайтесь, милости прошу. Ваш сын в последнее  время,  как
бы   это   поточнее   выразиться,..  какой-то  лоханутый  стал,
тормозной. На  уроках  за  базар  не  отвечает,  гонит  что-то,
исполняет иногда, а временами вообще ни о чем, вы извините меня
ради бога!..",1
4,5,"Одному  заболевшему  старичку  назначили противовоспалительные свечи. Через день старик вернулся и говорит: ""Ем я ем эти  Ваши свечи - никакого проку"".  Врач (удивленно): Так Вы их что, едите?  Старичек (ехидно): Нет, в жопу сую.",0
5,6,"Вовочка  утром  идет  в  спальню  к  родителям,  но дерь
заперта.
        Вовочка  смотрит  в  замочную  скважину,  там  родители
занимаются любовью. С угрюмым видом он возвращается к себе:
       -  И  эти  люди!!! И эти люди запрещают мне ковыряться в
носу!!!",1
6,7,"На медосмотре врач замечает у мужчины лобковых вшей.  Доктор: Вы знаете что у Вас лобковые вши?  Пациент: Знаю.  Доктор: А чем Вы их лечите?  Пациент: Ничем, они у меня не болеют.",0
7,8,"Марья  Ивановна  раздала анкеты. Вовочка честно написал:
""Отец - инженер, мать - проститутка"". Марья Ивановна вызвала  в
школу  отца  Вовочки. ""Все верно,""- сказал отец. Марья Ивановна
расплакалась и побежала к директору школы. ""Мамы всякие  нужны,
мамы  всякие  важны.""-  процитировал  директор  и записал Вовин
адрес в записную книжку.",1
8,9,"Врач после осмотра пациентки говорит ей:  У  Вас  головные  боли, желудок не в порядке, высокое кровяное давление. Простите, сколько Вам лет?  - Двадцать пять  - И значительная потеря памяти, - добавляет врач.",0
9,10,"-  Ты  почему  мне  грубишь, Вовочка? Я тебе отец или не
отец?
      - Ну ты задаешь ребусы, старик! Я то откуда знаю?",1
10,11,"Доктор, у меня сильно выпадают волосы.  - Ето потому что Вы нервничаете.  -  Может  быть,  но  это  как  раз потому, что у меня выпадают волосы!",0
11,12,"-  Не  забывай,  сынок,  мы  живем  на этой земле, чтобы
трудиться.  Кем ты хочешь стать, когда вырастешь?
      - Летчиком.",1
12,13,"Доктор,  почему  Вы сказали чтобы я высунула язык? Я давно это сделала, а Вы на него даже не смотрите?  - Так мне в тишине удобнее знакомиться с историей Вашей болезни.",0
13,14,"Вовочка:
 - Мама, иди в кабинет, я уронил большую стремянку.
 - Ну, папа тебе задаст, когда узнает.
 - Папа уже знает, он висит на люстре.",1
14,15,"-  Боюсь  что  с  этого  дня  Вы  должны бросить пить, курить, встречаться с женщинами.  - Но ведь я мужчина, доктор.  - Можете продолжать бриться.",0
15,16,"- Почему ты плачешь, Вовочка?
 -  Мама  сказала папе, что он слон. Папа ответил маме, что она
курица.
 - Ну и что?
 - А кто же тогда я?!",1
16,17,"Ваша  болезнь пройдет, - сказал врач, - только Вам надо каждый вечер принимать ванну и сразу - стопку коньяка.  Через несколько дней больной обратился к врачу:  - С коньяком все нормально, а вот ванну мне не удается принять.",0
17,18,"- Папа, почему, если дунуть на пламя свечки, то она гаснет?
 -  Гм... потому... м-м. Да-а... Потому... не дуй, дурак, вот и
не гаснет.",1
18,19,Женщина-врач  с  простуженным  горлом  тихо  говорит вошедшему пациенту:  - Раздевайтесь...  - А Вы? - тихо спрашивает пациент.,0
19,20,"Отец говорит Вовочке:
 -  Я вчера нашел на улице 200 т.рублей и отнес их в милицию. А
что бы сделал на моем месте ты?
 - То же, что и ты. Соврал.",1
